sub,trial,uncertain_word,valence,arousal,rt
59,6,questionable,0,-7,19.901
59,7,uncertain,-61,-199,16.4
59,8,vague,-64,-170,4.435
59,9,definite,-3,-79,7.618
59,10,unexpected,-5,-1,4.237
59,11,inevitable,-105,-132,10.306
59,12,doubtful,-86,-198,6.09
59,13,certain,98,-17,5.663
59,14,frequent,4,-15,4.628
59,15,likely,-2,-16,5.274
59,16,ambiguous,-94,-15,5.561
59,17,risky,-42,-155,4.527
59,18,improbable,-11,-19,8.498
60,1,likely,-109,17,18.255
60,2,unknown,-159,-69,5.685
60,3,possible,57,35,5.008
60,4,ambiguous,2,-1,8.509
60,5,questionable,0,122,8.55
60,6,risky,-1,239,5.493
60,7,erratic,-171,201,4.855
60,8,unexpected,0,6,9.089
60,9,vague,-90,-216,5.877
60,10,inevitable,233,122,7.034
